"Buyer","Project","SWBS","Cont Supp","Item","LinkedSPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount","Compare To Project","Most Recent Order Date"
"0","483","321","      ","321-02-00913","322605032219-001","BUSHING, REDUCING, 4X3"", IRO","4","0","03/16/2017","0","03/16/2017"," EA   ","0","4","4"," No     ","07/06/2017","08/25/2017","41.36","165.44","475","10/18/2016"
"8018","483","167","      ","167-01-00100","728900-000000001","DEADBOLT, SLIDING, 1"" BOLT  ","2","2","01/18/2017","14","01/04/2017"," EA   ","0","0","2"," No     ","08/07/2015","08/25/2017","119.95","239.9","473","08/12/2015"
"8018","483","300","      ","300-99-GWTAG","SRV526-031400003","ELECTRICAL TAGS GOODWILL    ","10000","10000","01/18/2017","123","09/17/2016"," DOL  ","0","0","10000"," No     ","08/07/2015","08/25/2017","1","10000","479","06/29/2017"
"8018","483","583","      ","583-01-00070","841407000017-001","WOOD, SOFT YELLOW PINE, 6""X ","10","10","01/18/2017","14","01/04/2017"," LF   ","0","0","10"," No     ","06/12/2017","08/25/2017","0","0","            ",""
"8018","483","610","      ","610-00-00002","SRV525-032200005","SRVC, FIRE EXTINGUISHERS, FI","1","1","01/18/2017","123","09/17/2016"," LO   ","0","0","1"," No     ","08/03/2017","08/25/2017","0","0","            ",""
"8018","483","631","      ","631-01-00001","SRV300-012400019","SRVC, RENTAL, SPONGE JET BLA","1","1","01/18/2017","123","09/17/2016"," DOL  ","0","0","1"," No     ","08/10/2017","08/25/2017","51000","51000","481","08/18/2017"
"8018","483","992","      ","992-01-VS004","","VSR, MISC. SCAFFOLDING PARTS","1","1","01/18/2017","123","09/17/2016"," DOL  ","0","0","1"," No     ","07/24/2017","08/25/2017","1","1","475","07/26/2017"
"8019","483","150","      ","150-01-02205","SRV521-032800002","VENDOR SRVC, R&A MFG PROCURE","1","1","01/18/2017","123","09/17/2016"," LO   ","0","0","1"," No     ","08/07/2015","08/25/2017","2897.04","2897.04","477","09/23/2016"
"8019","483","167","      ","167-01-0H427","611208-000000005","COVER, MH, RAISED, 15 X 23  ","8","8","01/18/2017","21","12/28/2016"," EA   ","0","0","8"," No     ","10/28/2016","08/25/2017","61.77","494.16","479","08/02/2016"
"8019","483","180","      ","180-23-09T01","SRV521-030900109","SHIM, STBD GAS TURBINE      ","1","1","01/18/2017","123","09/17/2016"," EA   ","0","0","1"," No     ","08/07/2015","08/25/2017","250","250","469","11/12/2015"
"8019","483","180","      ","180-23-09T02","SRV521-030900110","SHIM, STBD GAS TURBINE      ","1","1","01/18/2017","123","09/17/2016"," EA   ","0","0","1"," No     ","08/07/2015","08/25/2017","250","250","469","11/12/2015"
